Date,TCS,Reliance,HDFC,SBI
2018-09-28,1979.8917236328125,1246.407104,990.329651,249.900375
2018-10-01,2045.035888671875,1220.397827,1004.843567,257.759766
2018-10-03,1960.9874267578125,1194.041992,1002.720825,255.736099
2018-10-04,1872.0888671875,1111.952271,966.485291,255.406677
2018-10-05,1906.40625,1039.225708,970.212463,243.170486
2018-10-08,1883.649169921875,1099.220215,960.190979,250.135696
2018-10-09,1896.5689697265625,1080.047729,958.018799,247.500214
2018-10-10,1852.867431640625,1091.987183,971.125793,262.27774
2018-10-11,1795.1580810546875,1077.818359,956.513123,246.747192
2018-10-12,1739.26171875,1116.212769,978.382751,248.253204
2018-10-15,1767.5501708984375,1129.291626,991.316956,247.735519
2018-10-16,1779.1551513671875,1153.121094,983.763733,254.418335
2018-10-17,1749.326171875,1140.735718,974.80365,245.805969
2018-10-19,1734.6376953125,1091.194458,971.421997,245.758911
2018-10-22,1725.3900146484375,1052.89917,986.799866,245.052963
2018-10-23,1675.100341796875,1045.021973,979.863708,240.629105
2018-10-24,1679.5067138671875,1036.154175,983.516907,240.676163
2018-10-25,1683.5955810546875,1021.341492,971.940369,234.887543
2018-10-26,1634.622802734375,1035.312134,968.188416,233.522736
2018-10-29,1699.9498291015625,1077.818359,950.959351,252.159378
2018-10-30,1721.57373046875,1047.301025,944.270081,257.100861
2018-10-31,1760.960693359375,1051.511963,943.776367,264.86615
2018-11-01,1758.780029296875,1046.557861,943.998535,269.101746
2018-11-02,1738.518798828125,1065.036743,962.387817,268.584076
2018-11-05,1717.984619140625,1080.29541,965.621399,277.620026
2018-11-06,1756.0087890625,1093.96875,960.956177,269.619446
2018-11-07,1764.5948486328125,1100.508179,966.584045,269.713531
2018-11-09,1734.6572265625,1083.416504,960.388489,266.607452
2018-11-12,1739.791015625,1070.089966,948.367615,261.618866
2018-11-13,1758.0531005859375,1089.36145,951.675171,261.712982
2018-11-14,1708.7176513671875,1087.875244,966.485291,266.93689
2018-11-15,1701.6304931640625,1086.7854,975.075195,268.631134
2018-11-16,1714.1236572265625,1117.054932,989.465759,273.807983
2018-11-19,1728.524169921875,1139.447632,994.204956,271.219574
2018-11-20,1706.5369873046875,1126.963257,993.489075,266.795746
2018-11-21,1646.34375,1102.68811,996.599243,270.184174
2018-11-22,1646.843505859375,1092.730225,990.058044,266.089783
2018-11-26,1677.3260498046875,1099.566895,1011.927734,269.572388
2018-11-27,1717.439697265625,1117.847656,1018.937866,272.396118
2018-11-28,1802.528076171875,1142.073364,1031.403076,267.831055
2018-11-29,1781.3128662109375,1157.777832,1052.038696,269.572388
2018-11-30,1788.3087158203125,1156.83667,1050.754883,267.925201
2018-12-03,1801.1654052734375,1145.838379,1043.275879,269.948853
2018-12-04,1827.0142822265625,1141.726563,1029.576538,265.948578
2018-12-05,1823.2891845703125,1144.550415,1036.315063,263.689575
2018-12-06,1810.5234375,1113.339355,1035.253784,259.453979
2018-12-07,1812.795166015625,1123.39624,1040.461914,259.218689
2018-12-10,1795.1689453125,1080.24585,1031.15625,258.089203
2018-12-11,1817.15625,1087.478882,1016.741089,264.725006
2018-12-12,1832.4205322265625,1100.310059,1029.453125,268.48996
2018-12-13,1801.34716796875,1096.891724,1037.351929,272.019592
2018-12-14,1807.843505859375,1101.994385,1034.58728,272.207855
2018-12-17,1811.9775390625,1119.532104,1051.618896,272.490265
2018-12-18,1806.1171875,1125.972534,1054.210693,275.549316
2018-12-19,1788.4906005859375,1126.368774,1048.286621,283.032196
2018-12-20,1775.4071044921875,1118.095337,1055.19812,276.772858
2018-12-21,1722.4822998046875,1090.104492,1042.214478,274.749207
2018-12-24,1743.107177734375,1079.156006,1027.157471,275.831665
2018-12-26,1716.4859619140625,1088.271606,1047.74353,276.867004
2018-12-27,1734.4300537109375,1109.921021,1039.203125,274.984528
2018-12-28,1722.7095947265625,1115.222046,1048.015015,277.478821
2018-12-31,1719.984130859375,1110.961426,1047.422729,278.514191
